DATE_TIME,VOLUME,RESP_AVG
2025-03-28 10:00:00,1259,8.170032734
2025-03-28 11:00:00,1273,7.489350255
2025-03-28 12:00:00,1168,7.996851843
2025-03-28 13:00:00,1289,7.881424613
2025-03-28 14:00:00,1285,8.631397359
2025-03-28 15:00:00,1084,6.315666338
2025-03-28 16:00:00,1214,8.195949273
2025-03-28 17:00:00,1212,9.073977697
2025-03-28 18:00:00,1187,7.463233496
2025-03-28 19:00:00,1231,8.777643027
2025-03-28 20:00:00,1039,8.282409922
2025-03-28 21:00:00,1178,6.335637167
2025-03-28 22:00:00,957,6.689563424
2025-03-28 23:00:00,815,6.022470599
2025-03-29 4:00:00,669,5.263860899
2025-03-29 5:00:00,667,5.612248614
2025-03-29 7:00:00,742,6.589934458
2025-03-29 9:00:00,659,6.208952824
2025-03-29 10:00:00,748,5.695046273
2025-03-29 11:00:00,977,6.994014282
2025-03-29 16:00:00,758,5.356711917
2025-03-29 22:00:00,1251,6.21370678
2025-03-30 0:00:00,886,5.668154069
2025-03-30 1:00:00,989,5.656358589
2025-03-30 4:00:00,871,5.934050757
2025-03-30 5:00:00,876,5.038322102
2025-03-30 6:00:00,744,5.672092328
2025-03-30 9:00:00,616,5.896068541
2025-03-30 14:00:00,995,6.846035237
2025-03-30 16:00:00,1016,6.610423262
2025-03-30 18:00:00,799,5.429213964
2025-03-30 19:00:00,994,5.66231621
2025-03-30 20:00:00,1250,5.322611426
2025-03-30 22:00:00,919,6.202139912
2025-03-30 23:00:00,1098,6.2083437
2025-03-31 0:00:00,1105,6.488643155
2025-03-31 1:00:00,928,7.565234835
2025-03-31 2:00:00,996,7.691839111
2025-03-31 3:00:00,977,6.672715275
2025-03-31 4:00:00,1050,5.183686235
2025-03-31 5:00:00,790,6.39227137
2025-03-31 6:00:00,809,7.237979153
2025-03-31 7:00:00,808,6.601188853
2025-03-31 8:00:00,856,7.799088153
2025-03-31 9:00:00,1092,6.732995609
2025-03-31 10:00:00,842,7.627901938
2025-03-31 11:00:00,946,6.903588797
2025-03-31 12:00:00,1267,7.711721037
2025-03-31 13:00:00,1196,5.67213192
2025-03-31 14:00:00,1341,6.738873495
2025-03-31 15:00:00,974,8.443137457
2025-03-31 16:00:00,1085,7.145377845
2025-03-31 17:00:00,883,6.192999331
2025-03-31 18:00:00,868,6.627718928
2025-03-31 19:00:00,1445,7.073405636
2025-03-31 20:00:00,1232,6.01025258
2025-03-31 21:00:00,813,6.581781645
2025-03-31 22:00:00,956,6.335112455
2025-03-31 23:00:00,1233,5.882636743
2025-04-01 0:00:00,899,6.937600369
2025-04-01 1:00:00,794,7.561004482
2025-04-01 2:00:00,881,7.92079506
2025-04-01 3:00:00,902,8.748750792
2025-04-01 4:00:00,625,7.287269427
2025-04-01 5:00:00,633,8.403359628
2025-04-01 6:00:00,411,8.622153942
2025-04-01 7:00:00,475,7.821893065
2025-04-01 8:00:00,596,8.806234271
2025-04-01 9:00:00,526,8.950397979
2025-04-01 10:00:00,863,7.954233845
2025-04-01 11:00:00,568,10.46379037
